a52dec 0.8.0-2
abseil-cpp 20240116.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-kr-fonts 2.004-2
adobe-source-han-serif-kr-fonts 2.002-2
adwaita-cursors 46.0-1
adwaita-icon-theme 46.0-1
aha 0.5.1-2
alacritty 0.13.2-2
alsa-card-profiles 1:1.0.4-4
alsa-lib 1.2.11-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
aom 3.8.2-1
appstream 1.0.2-1
appstream-qt 1.0.2-1
archlinux-appstream-data 20240306-1
archlinux-keyring 20240313-1
argon2 20190702-5
aria2 1.37.0-1
aribb24 1.0.3-3
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica 6.0.0-1
attica5 5.115.0-1
attr 2.5.2-1
audit 4.0.1-2
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
baloo 6.0.0-3
baloo-widgets 24.02.2-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bat 0.24.0-1
binutils 2.42-2
bison 3.8.2-6
bluedevil 1:6.0.3-1
blueman 2.4.1-1
bluez 5.73-4
bluez-libs 5.73-4
bluez-qt 6.0.0-1
bluez-utils 5.73-4
bolt 0.9.7-1
boost-libs 1.83.0-5
breeze 6.0.3-1
breeze-gtk 6.0.3-1
breeze-icons 6.0.0-1
brotli 1.1.0-1
bubblewrap 0.9.0-1
bzip2 1.0.8-6
c-ares 1.28.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.99-1
ca-certificates-utils 20220905-1
cairo 1.18.0-2
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-9
chromium 124.0.6367.49-1
cifs-utils 7.0-3
clang 17.0.6-1
clinfo 3.0.23.01.25-1
clipcat 0.16.5-1
cmake 3.29.2-1
compiler-rt 17.0.6-1
convertlit 1.8-11
coreutils 9.5-1
cppdap 1.58.0-1
cryptsetup 2.7.2-1
curl 8.7.1-5
dav1d 1.4.1-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 2.1.4-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
dialog 1:1.3_20240307-2
diffutils 3.10-1
discord 0.0.49-1
discount 3.0.0.d-1
discover 6.0.3-1
dmidecode 3.5-1
dolphin 24.02.2-1
dosfstools 4.2-3
dotnet-host 8.0.4.sdk104-1
dotnet-runtime 8.0.4.sdk104-1
dotnet-runtime-7.0 7.0.18.sdk118-1
dotnet-sdk 8.0.4.sdk104-1
dotnet-targeting-pack 8.0.4.sdk104-1
double-conversion 3.3.0-1
drive-debug 0.4.0-2
drkonqi 6.0.3-1
duktape 2.7.0-6
dunst 1.10.0-1
e2fsprogs 1.47.0-2
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.7-1
efibootmgr 18-3
efivar 39-1
electron28 28.3.0-1
enchant 2.6.5-1
exfat-utils 1.4.0-2
exiv2 0.28.2-3
expat 2.6.2-1
faad2 2.11.1-1
fakeroot 1.34-1
fcitx5 5.1.8-1
fcitx5-configtool 5.1.4-1
fcitx5-gtk 5.1.2-1
fcitx5-hangul 5.1.2-1
fcitx5-qt 5.1.5-4
ffmpeg 2:6.1.1-7
ffmpeg4.4 4.4.4-5
fftw 3.3.10-6
file 5.45-1
filesystem 2024.04.07-1
findutils 4.9.0-3
firefox 124.0.2-1
flac 1.4.3-1
flatpak 1:1.15.7-1
flex 2.6.4-5
fmt 10.2.0-1
fontconfig 2:2.15.0-2
frameworkintegration 6.0.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fzf 0.48.1-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gcr-4 4.2.1-2
gd 2.3.3-7
gdb 14.2-1
gdb-common 14.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.1-2
gettext 0.22.4-1
ghc-libs 9.2.8-1
giflib 5.2.2-1
git 2.44.0-1
glib-networking 1:2.80.0-1
glib2 2.80.0-2
glibc 2.39-1
glibmm 2.66.7-1
glslang 14.0.0-2
glu 9.0.3-1
gmp 6.3.0-1
gn 0.2157.22581fb4-1
gnu-free-fonts 20120503-8
gnupg 2.4.5-1
gnutls 3.8.5-1
go 2:1.22.2-1
gobject-introspection-runtime 1.80.1-1
google-chrome 123.0.6312.105-1
gperf 3.1-5
